"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"경복궁","5K+","August 1, 2026 at 10:40:00 AM UTC+9","August 3, 2026 at 8:20:00 AM UTC+9","경복궁","https://trends.google.com/trends/explore?q=%EA%B2%BD%EB%B3%B5%EA%B6%81&geo=KR&hl=en-US"
"테일러 프리츠","200+","August 4, 2026 at 5:40:00 AM UTC+9","August 4, 2026 at 8:30:00 AM UTC+9","테일러 프리츠","https://trends.google.com/trends/explore?q=%ED%85%8C%EC%9D%BC%EB%9F%AC%20%ED%94%84%EB%A6%AC%EC%B8%A0&geo=KR&hl=en-US"
"다이소","10K+","August 2, 2026 at 8:30:00 AM UTC+9","August 2, 2026 at 6:20:00 PM UTC+9","다이소","https://trends.google.com/trends/explore?q=%EB%8B%A4%EC%9D%B4%EC%86%8C&geo=KR&hl=en-US"
"이관희","20K+","July 29, 2026 at 12:10:00 PM UTC+9","July 31, 2026 at 9:10:00 AM UTC+9","이관희,유시은,이관희 유시은,솔로지옥3","https://trends.google.com/trends/explore?q=%EC%9D%B4%EA%B4%80%ED%9D%AC&geo=KR&hl=en-US"
"매일경제","200+","August 4, 2026 at 7:40:00 AM UTC+9","August 4, 2026 at 10:20:00 AM UTC+9","매일경제,투자 전략","https://trends.google.com/trends/explore?q=%EB%A7%A4%EC%9D%BC%EA%B2%BD%EC%A0%9C&geo=KR&hl=en-US"
"정은채","2K+","August 2, 2026 at 6:30:00 PM UTC+9","August 4, 2026 at 8:20:00 AM UTC+9","정은채","https://trends.google.com/trends/explore?q=%EC%A0%95%EC%9D%80%EC%B1%84&geo=KR&hl=en-US"
"백린","20K+","July 28, 2026 at 5:30:00 PM UTC+9","July 30, 2026 at 7:00:00 AM UTC+9","백린,평택 백린,백린탄,평택,서탄면,미군기지 백린,평택시 서탄면,평택 백린탄,평택 미군기지 백린,평택 미군기지,k-55 미군기지,백린 평택,오산 공군기지","https://trends.google.com/trends/explore?q=%EB%B0%B1%EB%A6%B0&geo=KR&hl=en-US"
"서울역","5K+","August 1, 2026 at 9:10:00 AM UTC+9","August 2, 2026 at 1:30:00 PM UTC+9","서울역","https://trends.google.com/trends/explore?q=%EC%84%9C%EC%9A%B8%EC%97%AD&geo=KR&hl=en-US"
"방파제","2K+","August 2, 2026 at 9:30:00 AM UTC+9","August 3, 2026 at 1:00:00 PM UTC+9","방파제","https://trends.google.com/trends/explore?q=%EB%B0%A9%ED%8C%8C%EC%A0%9C&geo=KR&hl=en-US"
"허태정","5K+","July 30, 2026 at 7:50:00 PM UTC+9","August 1, 2026 at 11:30:00 PM UTC+9","허태정","https://trends.google.com/trends/explore?q=%ED%97%88%ED%83%9C%EC%A0%95&geo=KR&hl=en-US"
"메이저 리그 베이스볼","200+","August 4, 2026 at 6:40:00 AM UTC+9","August 4, 2026 at 9:00:00 AM UTC+9","메이저 리그 베이스볼","https://trends.google.com/trends/explore?q=%EB%A9%94%EC%9D%B4%EC%A0%80%20%EB%A6%AC%EA%B7%B8%20%EB%B2%A0%EC%9D%B4%EC%8A%A4%EB%B3%BC&geo=KR&hl=en-US"
"시바이누코인","1K+","August 4, 2026 at 5:50:00 AM UTC+9","August 4, 2026 at 8:40:00 AM UTC+9","시바이누코인","https://trends.google.com/trends/explore?q=%EC%8B%9C%EB%B0%94%EC%9D%B4%EB%88%84%EC%BD%94%EC%9D%B8&geo=KR&hl=en-US"
"중위소득","20K+","August 3, 2026 at 6:30:00 AM UTC+9","August 3, 2026 at 8:50:00 AM UTC+9","중위소득,생계","https://trends.google.com/trends/explore?q=%EC%A4%91%EC%9C%84%EC%86%8C%EB%93%9D&geo=KR&hl=en-US"
"가덕도","500+","August 3, 2026 at 3:30:00 PM UTC+9","August 4, 2026 at 8:30:00 AM UTC+9","가덕도","https://trends.google.com/trends/explore?q=%EA%B0%80%EB%8D%95%EB%8F%84&geo=KR&hl=en-US"
"현대 그랜저","10K+","July 30, 2026 at 2:00:00 PM UTC+9","July 31, 2026 at 2:30:00 PM UTC+9","현대 그랜저","https://trends.google.com/trends/explore?q=%ED%98%84%EB%8C%80%20%EA%B7%B8%EB%9E%9C%EC%A0%80&geo=KR&hl=en-US"
"west indies vs pakistan","200+","August 4, 2026 at 6:10:00 AM UTC+9","August 4, 2026 at 8:40:00 AM UTC+9","west indies vs pakistan","https://trends.google.com/trends/explore?q=west%20indies%20vs%20pakistan&geo=KR&hl=en-US"
"재정경제부","200+","August 3, 2026 at 7:00:00 PM UTC+9","August 4, 2026 at 10:50:00 AM UTC+9","재정경제부","https://trends.google.com/trends/explore?q=%EC%9E%AC%EC%A0%95%EA%B2%BD%EC%A0%9C%EB%B6%80&geo=KR&hl=en-US"
"부업","2K+","August 1, 2026 at 3:10:00 PM UTC+9","August 3, 2026 at 7:20:00 PM UTC+9","부업","https://trends.google.com/trends/explore?q=%EB%B6%80%EC%97%85&geo=KR&hl=en-US"
"aig 여자오픈","20K+","August 2, 2026 at 8:50:00 AM UTC+9","August 2, 2026 at 5:10:00 PM UTC+9","aig 여자오픈,넬리 코다,유해란,aig 여자 오픈","https://trends.google.com/trends/explore?q=aig%20%EC%97%AC%EC%9E%90%EC%98%A4%ED%94%88&geo=KR&hl=en-US"
"니콜 키드먼","200+","August 4, 2026 at 5:40:00 AM UTC+9","August 4, 2026 at 9:10:00 AM UTC+9","니콜 키드먼","https://trends.google.com/trends/explore?q=%EB%8B%88%EC%BD%9C%20%ED%82%A4%EB%93%9C%EB%A8%BC&geo=KR&hl=en-US"
"박지현","5K+","July 31, 2026 at 10:20:00 PM UTC+9","August 2, 2026 at 7:20:00 PM UTC+9","박지현","https://trends.google.com/trends/explore?q=%EB%B0%95%EC%A7%80%ED%98%84&geo=KR&hl=en-US"
"포항시","200+","August 4, 2026 at 6:40:00 AM UTC+9","August 4, 2026 at 9:10:00 AM UTC+9","포항시","https://trends.google.com/trends/explore?q=%ED%8F%AC%ED%95%AD%EC%8B%9C&geo=KR&hl=en-US"
"세율","10K+","August 1, 2026 at 3:20:00 PM UTC+9","August 2, 2026 at 8:30:00 PM UTC+9","세율,종합부동산세","https://trends.google.com/trends/explore?q=%EC%84%B8%EC%9C%A8&geo=KR&hl=en-US"
"이차전지","10K+","July 31, 2026 at 11:30:00 PM UTC+9","August 1, 2026 at 4:20:00 PM UTC+9","이차전지,이차 전지,전지","https://trends.google.com/trends/explore?q=%EC%9D%B4%EC%B0%A8%EC%A0%84%EC%A7%80&geo=KR&hl=en-US"
"교장","5K+","July 30, 2026 at 4:20:00 PM UTC+9","August 1, 2026 at 6:30:00 PM UTC+9","교장","https://trends.google.com/trends/explore?q=%EA%B5%90%EC%9E%A5&geo=KR&hl=en-US"
"재활용","1K+","August 3, 2026 at 6:10:00 PM UTC+9","August 4, 2026 at 7:30:00 AM UTC+9","재활용","https://trends.google.com/trends/explore?q=%EC%9E%AC%ED%99%9C%EC%9A%A9&geo=KR&hl=en-US"
"아성다이소","5K+","August 1, 2026 at 5:20:00 AM UTC+9","August 2, 2026 at 10:10:00 PM UTC+9","아성다이소","https://trends.google.com/trends/explore?q=%EC%95%84%EC%84%B1%EB%8B%A4%EC%9D%B4%EC%86%8C&geo=KR&hl=en-US"
"indonesia đấu với việt nam","1K+","August 3, 2026 at 9:40:00 PM UTC+9","August 4, 2026 at 1:20:00 AM UTC+9","indonesia đấu với việt nam","https://trends.google.com/trends/explore?q=indonesia%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20vi%E1%BB%87t%20nam&geo=KR&hl=en-US"
"tax filing deadline","2K+","August 1, 2026 at 2:20:00 PM UTC+9","August 4, 2026 at 6:20:00 AM UTC+9","tax filing deadline","https://trends.google.com/trends/explore?q=tax%20filing%20deadline&geo=KR&hl=en-US"
"lg에너지솔루션","2K+","August 2, 2026 at 12:20:00 AM UTC+9","August 3, 2026 at 6:50:00 AM UTC+9","lg에너지솔루션","https://trends.google.com/trends/explore?q=lg%EC%97%90%EB%84%88%EC%A7%80%EC%86%94%EB%A3%A8%EC%85%98&geo=KR&hl=en-US"
"평택시","10K+","July 30, 2026 at 4:20:00 PM UTC+9","July 31, 2026 at 10:40:00 AM UTC+9","평택시","https://trends.google.com/trends/explore?q=%ED%8F%89%ED%83%9D%EC%8B%9C&geo=KR&hl=en-US"
"핵무기","10K+","July 28, 2026 at 6:40:00 PM UTC+9","July 30, 2026 at 8:10:00 AM UTC+9","핵무기","https://trends.google.com/trends/explore?q=%ED%95%B5%EB%AC%B4%EA%B8%B0&geo=KR&hl=en-US"
"설 영우","10K+","July 31, 2026 at 2:40:00 PM UTC+9","August 1, 2026 at 11:10:00 AM UTC+9","설 영우,설영우","https://trends.google.com/trends/explore?q=%EC%84%A4%20%EC%98%81%EC%9A%B0&geo=KR&hl=en-US"
"홍현희","2K+","August 1, 2026 at 3:00:00 PM UTC+9","August 3, 2026 at 8:00:00 AM UTC+9","홍현희","https://trends.google.com/trends/explore?q=%ED%99%8D%ED%98%84%ED%9D%AC&geo=KR&hl=en-US"
"군인","20K+","July 30, 2026 at 7:40:00 AM UTC+9","July 30, 2026 at 9:50:00 PM UTC+9","군인","https://trends.google.com/trends/explore?q=%EA%B5%B0%EC%9D%B8&geo=KR&hl=en-US"
"버지니아급 잠수함","20K+","July 31, 2026 at 10:10:00 AM UTC+9","August 1, 2026 at 7:20:00 AM UTC+9","버지니아급 잠수함,잠수함","https://trends.google.com/trends/explore?q=%EB%B2%84%EC%A7%80%EB%8B%88%EC%95%84%EA%B8%89%20%EC%9E%A0%EC%88%98%ED%95%A8&geo=KR&hl=en-US"
"투수","200+","August 4, 2026 at 6:30:00 AM UTC+9","August 4, 2026 at 8:00:00 AM UTC+9","투수","https://trends.google.com/trends/explore?q=%ED%88%AC%EC%88%98&geo=KR&hl=en-US"
"kt","200+","August 4, 2026 at 6:10:00 AM UTC+9","August 4, 2026 at 8:50:00 AM UTC+9","kt","https://trends.google.com/trends/explore?q=kt&geo=KR&hl=en-US"
"정유 라","20K+","July 29, 2026 at 4:40:00 PM UTC+9","July 30, 2026 at 5:20:00 PM UTC+9","정유 라,정유라","https://trends.google.com/trends/explore?q=%EC%A0%95%EC%9C%A0%20%EB%9D%BC&geo=KR&hl=en-US"
"윤동희","10K+","July 28, 2026 at 4:30:00 PM UTC+9","July 30, 2026 at 10:00:00 AM UTC+9","윤동희","https://trends.google.com/trends/explore?q=%EC%9C%A4%EB%8F%99%ED%9D%AC&geo=KR&hl=en-US"
"코오롱티슈진","5K+","August 2, 2026 at 12:40:00 PM UTC+9","August 2, 2026 at 9:00:00 PM UTC+9","코오롱티슈진","https://trends.google.com/trends/explore?q=%EC%BD%94%EC%98%A4%EB%A1%B1%ED%8B%B0%EC%8A%88%EC%A7%84&geo=KR&hl=en-US"
"윤경호","10K+","July 29, 2026 at 7:30:00 PM UTC+9","July 31, 2026 at 10:00:00 AM UTC+9","윤경호","https://trends.google.com/trends/explore?q=%EC%9C%A4%EA%B2%BD%ED%98%B8&geo=KR&hl=en-US"
"한다감","10K+","July 29, 2026 at 8:50:00 PM UTC+9","July 31, 2026 at 9:10:00 AM UTC+9","한다감,김용건","https://trends.google.com/trends/explore?q=%ED%95%9C%EB%8B%A4%EA%B0%90&geo=KR&hl=en-US"
"삼성 전자 컨콜","20K+","July 30, 2026 at 11:20:00 AM UTC+9","July 31, 2026 at 8:30:00 AM UTC+9","삼성 전자 컨콜,삼전,삼성전자 실적 발표,테일러,삼성 전자 2 분기 실적,삼성전자 실적발표,삼전 주가,삼성전자 실적,삼전주가,반도체 메모리,삼성전자 ir,컨콜","https://trends.google.com/trends/explore?q=%EC%82%BC%EC%84%B1%20%EC%A0%84%EC%9E%90%20%EC%BB%A8%EC%BD%9C&geo=KR&hl=en-US"
"최애의 사원","500+","August 3, 2026 at 8:40:00 PM UTC+9","August 4, 2026 at 8:20:00 AM UTC+9","최애의 사원","https://trends.google.com/trends/explore?q=%EC%B5%9C%EC%95%A0%EC%9D%98%20%EC%82%AC%EC%9B%90&geo=KR&hl=en-US"
"죽음","20K+","July 31, 2026 at 3:20:00 PM UTC+9","July 31, 2026 at 8:00:00 PM UTC+9","죽음","https://trends.google.com/trends/explore?q=%EC%A3%BD%EC%9D%8C&geo=KR&hl=en-US"
"gq","2K+","August 2, 2026 at 8:30:00 AM UTC+9","August 3, 2026 at 9:10:00 AM UTC+9","gq","https://trends.google.com/trends/explore?q=gq&geo=KR&hl=en-US"
"sk텔레콤","5K+","July 30, 2026 at 4:50:00 PM UTC+9","August 1, 2026 at 4:50:00 PM UTC+9","sk텔레콤","https://trends.google.com/trends/explore?q=sk%ED%85%94%EB%A0%88%EC%BD%A4&geo=KR&hl=en-US"
"강상준","100+","August 4, 2026 at 7:30:00 AM UTC+9","August 4, 2026 at 9:20:00 AM UTC+9","강상준","https://trends.google.com/trends/explore?q=%EA%B0%95%EC%83%81%EC%A4%80&geo=KR&hl=en-US"
"티머니","500+","August 3, 2026 at 6:30:00 PM UTC+9","August 4, 2026 at 10:20:00 AM UTC+9","티머니","https://trends.google.com/trends/explore?q=%ED%8B%B0%EB%A8%B8%EB%8B%88&geo=KR&hl=en-US"
"레이더","100+","August 4, 2026 at 5:50:00 AM UTC+9","August 4, 2026 at 9:00:00 AM UTC+9","레이더","https://trends.google.com/trends/explore?q=%EB%A0%88%EC%9D%B4%EB%8D%94&geo=KR&hl=en-US"
"명예훼손","20K+","July 29, 2026 at 1:30:00 PM UTC+9","July 30, 2026 at 8:20:00 AM UTC+9","명예훼손","https://trends.google.com/trends/explore?q=%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90&geo=KR&hl=en-US"
"도지코인","1K+","August 3, 2026 at 2:10:00 PM UTC+9","August 4, 2026 at 6:40:00 AM UTC+9","도지코인","https://trends.google.com/trends/explore?q=%EB%8F%84%EC%A7%80%EC%BD%94%EC%9D%B8&geo=KR&hl=en-US"
"서정희","2K+","August 1, 2026 at 10:10:00 AM UTC+9","August 3, 2026 at 7:20:00 AM UTC+9","서정희","https://trends.google.com/trends/explore?q=%EC%84%9C%EC%A0%95%ED%9D%AC&geo=KR&hl=en-US"
"로버트 기요사키","10K+","July 28, 2026 at 8:50:00 PM UTC+9","July 30, 2026 at 9:10:00 AM UTC+9","로버트 기요사키","https://trends.google.com/trends/explore?q=%EB%A1%9C%EB%B2%84%ED%8A%B8%20%EA%B8%B0%EC%9A%94%EC%82%AC%ED%82%A4&geo=KR&hl=en-US"
"한국상조공제조합","5K+","July 31, 2026 at 6:00:00 AM UTC+9","August 1, 2026 at 10:30:00 AM UTC+9","한국상조공제조합","https://trends.google.com/trends/explore?q=%ED%95%9C%EA%B5%AD%EC%83%81%EC%A1%B0%EA%B3%B5%EC%A0%9C%EC%A1%B0%ED%95%A9&geo=KR&hl=en-US"
"돈선태","10K+","July 29, 2026 at 7:10:00 PM UTC+9","August 1, 2026 at 8:10:00 AM UTC+9","돈선태,김선태 리 센느,원이,김선태,원 이,리센느 원이 논란,충주맨","https://trends.google.com/trends/explore?q=%EB%8F%88%EC%84%A0%ED%83%9C&geo=KR&hl=en-US"
"세우타","5K+","July 31, 2026 at 12:10:00 PM UTC+9","August 2, 2026 at 4:20:00 PM UTC+9","세우타,모로코,군대","https://trends.google.com/trends/explore?q=%EC%84%B8%EC%9A%B0%ED%83%80&geo=KR&hl=en-US"
"고우석","20K+","July 29, 2026 at 1:30:00 PM UTC+9","July 30, 2026 at 10:30:00 AM UTC+9","고우석","https://trends.google.com/trends/explore?q=%EA%B3%A0%EC%9A%B0%EC%84%9D&geo=KR&hl=en-US"
"netflix top movies right now","2K+","August 1, 2026 at 2:20:00 PM UTC+9","August 4, 2026 at 6:00:00 AM UTC+9","netflix top movies right now","https://trends.google.com/trends/explore?q=netflix%20top%20movies%20right%20now&geo=KR&hl=en-US"
"연예인","1K+","August 3, 2026 at 12:10:00 PM UTC+9","August 3, 2026 at 5:30:00 PM UTC+9","연예인","https://trends.google.com/trends/explore?q=%EC%97%B0%EC%98%88%EC%9D%B8&geo=KR&hl=en-US"
"전북 대 fc 서울","10K+","August 1, 2026 at 6:30:00 PM UTC+9","August 2, 2026 at 6:50:00 AM UTC+9","전북 대 fc 서울","https://trends.google.com/trends/explore?q=%EC%A0%84%EB%B6%81%20%EB%8C%80%20fc%20%EC%84%9C%EC%9A%B8&geo=KR&hl=en-US"
"김정난","10K+","July 28, 2026 at 8:00:00 PM UTC+9","July 30, 2026 at 8:00:00 AM UTC+9","김정난","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%A0%95%EB%82%9C&geo=KR&hl=en-US"
"창신메모리테크놀로지","10K+","July 30, 2026 at 6:20:00 AM UTC+9","July 31, 2026 at 2:20:00 PM UTC+9","창신메모리테크놀로지,중국 반도체","https://trends.google.com/trends/explore?q=%EC%B0%BD%EC%8B%A0%EB%A9%94%EB%AA%A8%EB%A6%AC%ED%85%8C%ED%81%AC%EB%86%80%EB%A1%9C%EC%A7%80&geo=KR&hl=en-US"
"국민일보","2K+","August 3, 2026 at 5:00:00 AM UTC+9","August 3, 2026 at 11:10:00 AM UTC+9","국민일보","https://trends.google.com/trends/explore?q=%EA%B5%AD%EB%AF%BC%EC%9D%BC%EB%B3%B4&geo=KR&hl=en-US"
"주성엔지니어링","2K+","August 2, 2026 at 3:50:00 PM UTC+9","August 3, 2026 at 8:50:00 AM UTC+9","주성엔지니어링","https://trends.google.com/trends/explore?q=%EC%A3%BC%EC%84%B1%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81&geo=KR&hl=en-US"
"어머니","20K+","July 29, 2026 at 7:20:00 PM UTC+9","July 30, 2026 at 9:20:00 AM UTC+9","어머니","https://trends.google.com/trends/explore?q=%EC%96%B4%EB%A8%B8%EB%8B%88&geo=KR&hl=en-US"
"급발진","10K+","July 31, 2026 at 2:10:00 PM UTC+9","August 1, 2026 at 8:30:00 AM UTC+9","급발진","https://trends.google.com/trends/explore?q=%EA%B8%89%EB%B0%9C%EC%A7%84&geo=KR&hl=en-US"
"what is a data breach","2K+","August 1, 2026 at 4:30:00 PM UTC+9","August 4, 2026 at 3:30:00 AM UTC+9","what is a data breach","https://trends.google.com/trends/explore?q=what%20is%20a%20data%20breach&geo=KR&hl=en-US"
"tvn","2K+","August 3, 2026 at 9:10:00 AM UTC+9","August 3, 2026 at 3:00:00 PM UTC+9","tvn","https://trends.google.com/trends/explore?q=tvn&geo=KR&hl=en-US"
"첼시 대 시드니 원더러스","20K+","July 28, 2026 at 6:00:00 PM UTC+9","July 29, 2026 at 1:30:00 PM UTC+9","첼시 대 시드니 원더러스","https://trends.google.com/trends/explore?q=%EC%B2%BC%EC%8B%9C%20%EB%8C%80%20%EC%8B%9C%EB%93%9C%EB%8B%88%20%EC%9B%90%EB%8D%94%EB%9F%AC%EC%8A%A4&geo=KR&hl=en-US"
"soccer world rankings","2K+","August 1, 2026 at 7:30:00 AM UTC+9","August 4, 2026 at 6:10:00 AM UTC+9","soccer world rankings","https://trends.google.com/trends/explore?q=soccer%20world%20rankings&geo=KR&hl=en-US"
"주일 미군","5K+","July 31, 2026 at 6:50:00 PM UTC+9","August 1, 2026 at 12:40:00 PM UTC+9","주일 미군","https://trends.google.com/trends/explore?q=%EC%A3%BC%EC%9D%BC%20%EB%AF%B8%EA%B5%B0&geo=KR&hl=en-US"
"괴산군","5K+","July 31, 2026 at 6:00:00 PM UTC+9","August 1, 2026 at 9:10:00 AM UTC+9","괴산군","https://trends.google.com/trends/explore?q=%EA%B4%B4%EC%82%B0%EA%B5%B0&geo=KR&hl=en-US"
"원이 폭로","5K+","August 1, 2026 at 5:50:00 PM UTC+9","August 2, 2026 at 4:40:00 PM UTC+9","원이 폭로,리센느 원이,원 이,원이 논란,원이,원이 일진,리센느 원이 과거,리센느 원이 폭로","https://trends.google.com/trends/explore?q=%EC%9B%90%EC%9D%B4%20%ED%8F%AD%EB%A1%9C&geo=KR&hl=en-US"
"황재균","10K+","July 29, 2026 at 4:00:00 AM UTC+9","July 30, 2026 at 5:30:00 PM UTC+9","황재균,운동","https://trends.google.com/trends/explore?q=%ED%99%A9%EC%9E%AC%EA%B7%A0&geo=KR&hl=en-US"
"속초시","10K+","July 30, 2026 at 7:50:00 AM UTC+9","July 31, 2026 at 8:20:00 AM UTC+9","속초시","https://trends.google.com/trends/explore?q=%EC%86%8D%EC%B4%88%EC%8B%9C&geo=KR&hl=en-US"
"문진희","1K+","August 3, 2026 at 4:30:00 PM UTC+9","August 4, 2026 at 8:00:00 AM UTC+9","문진희","https://trends.google.com/trends/explore?q=%EB%AC%B8%EC%A7%84%ED%9D%AC&geo=KR&hl=en-US"
"바레시","5K+","July 31, 2026 at 2:40:00 PM UTC+9","August 1, 2026 at 6:20:00 PM UTC+9","바레시,프랑코 바레시","https://trends.google.com/trends/explore?q=%EB%B0%94%EB%A0%88%EC%8B%9C&geo=KR&hl=en-US"
"sk실트론","2K+","July 31, 2026 at 7:00:00 PM UTC+9","August 1, 2026 at 9:00:00 PM UTC+9","sk실트론","https://trends.google.com/trends/explore?q=sk%EC%8B%A4%ED%8A%B8%EB%A1%A0&geo=KR&hl=en-US"
"매머드","5K+","July 31, 2026 at 3:10:00 PM UTC+9","August 1, 2026 at 1:00:00 PM UTC+9","매머드,뼈","https://trends.google.com/trends/explore?q=%EB%A7%A4%EB%A8%B8%EB%93%9C&geo=KR&hl=en-US"
"영래기 불송치","5K+","July 31, 2026 at 8:50:00 PM UTC+9","August 1, 2026 at 4:40:00 PM UTC+9","영래기 불송치,영래기,영래기 고소","https://trends.google.com/trends/explore?q=%EC%98%81%EB%9E%98%EA%B8%B0%20%EB%B6%88%EC%86%A1%EC%B9%98&geo=KR&hl=en-US"
"실내 공기질","2K+","July 31, 2026 at 4:10:00 PM UTC+9","August 2, 2026 at 10:20:00 AM UTC+9","실내 공기질","https://trends.google.com/trends/explore?q=%EC%8B%A4%EB%82%B4%20%EA%B3%B5%EA%B8%B0%EC%A7%88&geo=KR&hl=en-US"
"김현태","10K+","July 28, 2026 at 6:40:00 PM UTC+9","July 29, 2026 at 3:40:00 PM UTC+9","김현태","https://trends.google.com/trends/explore?q=%EA%B9%80%ED%98%84%ED%83%9C&geo=KR&hl=en-US"
"푸들","5K+","July 30, 2026 at 10:40:00 AM UTC+9","July 31, 2026 at 9:50:00 AM UTC+9","푸들","https://trends.google.com/trends/explore?q=%ED%91%B8%EB%93%A4&geo=KR&hl=en-US"
"cryptocurrency trading","2K+","August 1, 2026 at 1:40:00 PM UTC+9","August 4, 2026 at 6:40:00 AM UTC+9","cryptocurrency trading","https://trends.google.com/trends/explore?q=cryptocurrency%20trading&geo=KR&hl=en-US"
"강습상륙함","10K+","July 28, 2026 at 3:10:00 PM UTC+9","July 29, 2026 at 2:30:00 PM UTC+9","강습상륙함","https://trends.google.com/trends/explore?q=%EA%B0%95%EC%8A%B5%EC%83%81%EB%A5%99%ED%95%A8&geo=KR&hl=en-US"
"사회 보장","2K+","July 31, 2026 at 6:30:00 AM UTC+9","August 1, 2026 at 2:20:00 PM UTC+9","사회 보장","https://trends.google.com/trends/explore?q=%EC%82%AC%ED%9A%8C%20%EB%B3%B4%EC%9E%A5&geo=KR&hl=en-US"
"아파트","20K+","July 29, 2026 at 5:50:00 PM UTC+9","July 30, 2026 at 10:00:00 AM UTC+9","아파트","https://trends.google.com/trends/explore?q=%EC%95%84%ED%8C%8C%ED%8A%B8&geo=KR&hl=en-US"
"현대제철","2K+","July 31, 2026 at 9:20:00 PM UTC+9","August 2, 2026 at 2:00:00 PM UTC+9","현대제철","https://trends.google.com/trends/explore?q=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0&geo=KR&hl=en-US"
"사이드카","2K+","August 3, 2026 at 4:50:00 AM UTC+9","August 3, 2026 at 9:10:00 AM UTC+9","사이드카","https://trends.google.com/trends/explore?q=%EC%82%AC%EC%9D%B4%EB%93%9C%EC%B9%B4&geo=KR&hl=en-US"
"제1군단","10K+","July 29, 2026 at 12:30:00 PM UTC+9","July 30, 2026 at 12:40:00 PM UTC+9","제1군단,제 1 군단,1군단","https://trends.google.com/trends/explore?q=%EC%A0%9C1%EA%B5%B0%EB%8B%A8&geo=KR&hl=en-US"
"일본인","2K+","August 2, 2026 at 5:20:00 AM UTC+9","August 2, 2026 at 2:40:00 PM UTC+9","일본인","https://trends.google.com/trends/explore?q=%EC%9D%BC%EB%B3%B8%EC%9D%B8&geo=KR&hl=en-US"
"sk그룹","20K+","July 29, 2026 at 4:40:00 AM UTC+9","July 30, 2026 at 6:40:00 AM UTC+9","sk그룹,000660,하이닉스 주가,최태원 매수,상한가,sk하이닉스 주가,하이닉스 주식,하이닉스 상한가,최태원,하이닉스주가,sk 하이닉스 주가,주식 상한가,슈카,최태원 하이닉스 매수","https://trends.google.com/trends/explore?q=sk%EA%B7%B8%EB%A3%B9&geo=KR&hl=en-US"
"카페","10K+","July 28, 2026 at 6:50:00 PM UTC+9","July 30, 2026 at 8:50:00 AM UTC+9","카페","https://trends.google.com/trends/explore?q=%EC%B9%B4%ED%8E%98&geo=KR&hl=en-US"
"신민아","2K+","July 31, 2026 at 10:40:00 PM UTC+9","August 2, 2026 at 1:50:00 PM UTC+9","신민아,김우빈","https://trends.google.com/trends/explore?q=%EC%8B%A0%EB%AF%BC%EC%95%84&geo=KR&hl=en-US"
"오버워치 서버","500+","August 3, 2026 at 8:10:00 PM UTC+9","August 4, 2026 at 1:30:00 AM UTC+9","오버워치 서버","https://trends.google.com/trends/explore?q=%EC%98%A4%EB%B2%84%EC%9B%8C%EC%B9%98%20%EC%84%9C%EB%B2%84&geo=KR&hl=en-US"
"도쿄 바나나","5K+","July 30, 2026 at 5:50:00 PM UTC+9","July 31, 2026 at 4:00:00 PM UTC+9","도쿄 바나나,도쿄베리","https://trends.google.com/trends/explore?q=%EB%8F%84%EC%BF%84%20%EB%B0%94%EB%82%98%EB%82%98&geo=KR&hl=en-US"
"미셸 스틸","5K+","July 30, 2026 at 7:10:00 PM UTC+9","August 1, 2026 at 8:30:00 PM UTC+9","미셸 스틸,동맹,시장,주한 미국 대사","https://trends.google.com/trends/explore?q=%EB%AF%B8%EC%85%B8%20%EC%8A%A4%ED%8B%B8&geo=KR&hl=en-US"
"사기","5K+","August 1, 2026 at 4:50:00 AM UTC+9","August 2, 2026 at 8:40:00 AM UTC+9","사기","https://trends.google.com/trends/explore?q=%EC%82%AC%EA%B8%B0&geo=KR&hl=en-US"
"stock market news today","1K+","August 1, 2026 at 1:50:00 PM UTC+9","August 4, 2026 at 6:10:00 AM UTC+9","stock market news today","https://trends.google.com/trends/explore?q=stock%20market%20news%20today&geo=KR&hl=en-US"
"짜장면","5K+","July 31, 2026 at 3:10:00 PM UTC+9","August 1, 2026 at 10:10:00 AM UTC+9","짜장면","https://trends.google.com/trends/explore?q=%EC%A7%9C%EC%9E%A5%EB%A9%B4&geo=KR&hl=en-US"
"soccer highlights today","1K+","August 1, 2026 at 2:20:00 PM UTC+9","August 4, 2026 at 4:40:00 AM UTC+9","soccer highlights today","https://trends.google.com/trends/explore?q=soccer%20highlights%20today&geo=KR&hl=en-US"
"식이","10K+","July 28, 2026 at 9:30:00 PM UTC+9","July 29, 2026 at 11:00:00 PM UTC+9","식이","https://trends.google.com/trends/explore?q=%EC%8B%9D%EC%9D%B4&geo=KR&hl=en-US"
"임금","5K+","July 29, 2026 at 10:00:00 PM UTC+9","July 31, 2026 at 3:10:00 PM UTC+9","임금,sk 하이닉스","https://trends.google.com/trends/explore?q=%EC%9E%84%EA%B8%88&geo=KR&hl=en-US"
